,network,seed,low,mid,high
161,2,61,925,0,0
162,2,62,924,0,0
163,2,63,922,0,0
164,2,64,924,0,0
165,2,65,916,0,0
166,2,66,918,0,0
167,2,67,916,0,0
168,2,68,922,0,0
169,2,69,921,0,0
170,2,70,922,0,0
171,2,71,921,0,0
172,2,72,912,0,0
173,2,73,922,2,0
174,2,74,920,0,0
175,2,75,918,0,0
176,2,76,924,0,0
177,2,77,924,0,0
178,2,78,919,0,0
179,2,79,920,0,0
180,2,80,921,1,0
181,2,81,918,3,0
182,2,82,915,0,0
183,2,83,914,2,0
184,2,84,916,0,0
185,2,85,927,0,0
186,2,86,916,0,0
187,2,87,917,0,0
188,2,88,911,0,0
189,2,89,926,0,0
190,2,90,928,0,0
191,2,91,916,0,0
192,2,92,914,0,0
193,2,93,917,0,0
194,2,94,924,0,0
195,2,95,920,0,0
196,2,96,915,0,0
197,2,97,918,1,0
198,2,98,914,0,0
199,2,99,922,0,0
200,3,59,920,0,0
201,3,60,915,0,0
202,3,61,925,0,0
203,3,62,924,0,0
204,3,63,922,0,0
205,3,64,924,0,0
206,3,65,916,0,0
207,3,66,918,0,0
208,3,67,916,0,0
209,3,68,922,0,0
210,3,69,921,0,0
211,3,70,922,0,0
212,3,71,921,0,0
213,3,72,912,0,0
214,3,73,922,2,0
215,3,74,920,0,0
216,3,75,918,0,0
217,3,76,924,0,0
218,3,77,924,0,0
219,3,78,919,0,0
220,3,79,920,0,0
221,3,80,921,1,0
222,3,81,918,3,0
223,3,82,915,0,0
224,3,83,914,2,0
225,3,84,916,0,0
226,3,85,927,0,0
227,3,86,916,0,0
228,3,87,917,0,0
229,3,88,911,0,0
230,3,89,926,0,0
231,3,90,928,0,0
232,3,91,916,0,0
233,3,92,914,0,0
234,3,93,917,0,0
235,3,94,924,0,0
236,3,95,920,0,0
237,3,96,915,0,0
238,3,97,918,1,0
239,3,98,914,0,0
240,3,99,922,0,0
241,4,0,918,0,0
242,4,1,921,0,0
243,4,2,924,0,0
244,4,3,917,0,0
245,4,4,925,0,0
246,4,5,918,0,0
247,4,6,923,3,0
248,4,7,921,0,0
249,4,8,914,0,0
250,4,9,925,0,0
251,4,10,919,0,0
252,4,11,922,0,0
253,4,12,921,2,0
254,4,13,916,0,0
255,4,14,921,0,0
256,4,15,921,0,0
257,4,16,917,0,0
258,4,17,921,3,0
259,4,18,927,7,0
260,4,19,918,0,0
261,4,20,910,0,0
262,4,21,924,0,0
263,4,22,916,0,0
264,4,23,913,0,0
265,4,24,922,0,0
266,4,25,919,0,0
267,4,26,922,0,0
268,4,27,923,0,0
269,4,28,924,0,0
270,4,29,921,0,0
271,4,30,921,0,0
272,4,31,919,0,0
273,4,32,919,0,0
274,4,33,919,0,0
275,4,34,926,0,0
276,4,35,911,0,0
277,4,36,921,0,0
278,4,37,917,0,0
279,4,38,921,0,0
280,4,39,918,0,0
281,4,40,916,0,0
282,4,41,918,0,0
283,4,42,919,0,0
284,4,43,913,0,0
285,4,44,913,0,0
286,4,45,915,0,0
287,4,46,920,0,0
288,4,47,919,0,0
289,4,48,920,0,0
290,4,49,922,0,0
291,4,50,917,0,0
292,4,51,917,0,0
293,4,52,919,0,0
294,4,53,919,0,0
295,4,54,907,4,0
296,4,55,921,0,0
297,4,56,912,0,0
298,4,57,919,2,0
299,4,58,923,0,0
300,4,59,920,0,0
301,4,60,915,0,0
302,4,61,925,0,0
303,4,62,924,0,0
304,4,63,922,0,0
305,4,64,924,0,0
306,4,65,916,0,0
307,4,66,918,0,0
308,4,67,916,0,0
309,4,68,922,0,0
310,4,69,921,0,0
311,4,70,922,0,0
312,4,71,921,0,0
313,4,72,912,0,0
314,4,73,922,2,0
315,4,74,920,0,0
316,4,75,918,0,0
317,4,76,924,0,0
318,4,77,924,0,0
319,4,78,919,0,0
320,4,79,920,0,0
321,4,80,921,1,0
322,4,81,918,3,0
323,4,82,915,0,0
324,4,83,914,2,0
325,4,84,916,0,0
326,4,85,927,0,0
327,4,86,916,0,0
328,4,87,917,0,0
329,4,88,911,0,0
330,4,89,926,0,0
331,4,90,928,0,0
332,4,91,916,0,0
333,4,92,914,0,0
334,4,93,917,0,0
335,4,94,924,0,0
336,4,95,920,0,0
337,4,96,915,0,0
338,4,97,918,1,0
339,4,98,914,0,0
340,4,99,922,0,0
341,5,0,918,0,0
342,5,1,921,0,0
343,5,2,924,0,0
344,5,3,917,0,0
345,5,4,925,0,0
346,5,5,918,0,0
347,5,6,923,3,0
348,5,7,921,0,0
349,5,8,914,0,0
350,5,9,925,0,0
351,5,10,919,0,0
352,5,11,922,0,0
353,5,12,921,2,0
354,5,13,916,0,0
355,5,14,921,0,0
356,5,15,921,0,0
357,5,16,917,0,0
358,5,17,921,3,0
359,5,18,927,7,0
360,5,19,918,0,0
361,5,20,910,0,0
362,5,21,924,0,0
363,5,22,916,0,0
364,5,23,913,0,0
365,5,24,922,0,0
366,5,25,919,0,0
367,5,26,922,0,0
368,5,27,923,0,0
369,5,28,924,0,0
370,5,29,921,0,0
371,5,30,921,0,0
372,5,31,919,0,0
373,5,32,919,0,0
374,5,33,919,0,0
375,5,34,926,0,0
376,5,35,911,0,0
377,5,36,921,0,0
378,5,37,917,0,0
